Size,Used,Avail,Used%,date_time
1000G,822G,178G,83%,2025-03-21 14:20:01
1000G,822G,178G,83%,2025-03-21 15:20:02
1000G,822G,178G,83%,2025-03-21 16:20:01
1000G,822G,178G,83%,2025-03-21 17:20:03
1000G,822G,178G,83%,2025-03-21 18:20:04
1000G,822G,178G,83%,2025-03-21 19:20:03
1000G,826G,175G,83%,2025-03-24 02:20:03
1000G,826G,174G,83%,2025-03-24 03:20:02
1000G,826G,174G,83%,2025-03-24 04:20:02
1000G,826G,174G,83%,2025-03-24 05:20:04
1000G,826G,174G,83%,2025-03-24 06:20:03
1000G,826G,174G,83%,2025-03-24 07:20:01
1000G,826G,174G,83%,2025-03-24 08:20:01
1000G,826G,174G,83%,2025-03-24 09:20:02
1000G,826G,174G,83%,2025-03-24 10:20:01
1000G,826G,174G,83%,2025-03-24 11:20:01
1000G,826G,174G,83%,2025-03-24 12:20:02
1000G,827G,174G,83%,2025-03-24 13:20:01
1000G,827G,174G,83%,2025-03-24 14:20:03
1000G,827G,174G,83%,2025-03-24 15:20:04
1000G,827G,174G,83%,2025-03-24 16:20:03
1000G,827G,174G,83%,2025-03-24 17:20:02
1000G,827G,174G,83%,2025-03-24 18:20:02
1000G,827G,174G,83%,2025-03-24 19:20:02
1000G,828G,173G,83%,2025-03-25 02:20:01
1000G,828G,173G,83%,2025-03-25 03:20:02
1000G,828G,173G,83%,2025-03-25 04:20:01
1000G,828G,173G,83%,2025-03-25 05:20:01
1000G,828G,173G,83%,2025-03-25 06:20:02
1000G,828G,173G,83%,2025-03-25 07:20:02
1000G,828G,173G,83%,2025-03-25 08:20:02
1000G,828G,173G,83%,2025-03-25 09:20:01
1000G,828G,172G,83%,2025-03-25 10:20:02
1000G,828G,172G,83%,2025-03-25 11:20:01
1000G,828G,172G,83%,2025-03-25 12:20:02
1000G,828G,172G,83%,2025-03-25 13:20:04
1000G,828G,172G,83%,2025-03-25 14:20:03
1000G,828G,172G,83%,2025-03-25 15:20:04
1000G,829G,172G,83%,2025-03-25 16:20:03
1000G,829G,172G,83%,2025-03-25 17:20:03
1000G,829G,172G,83%,2025-03-25 18:20:03
1000G,829G,172G,83%,2025-03-25 19:20:03
1000G,830G,171G,83%,2025-03-26 02:20:01
1000G,830G,171G,83%,2025-03-26 03:20:02
1000G,830G,171G,83%,2025-03-26 04:20:02
1000G,830G,171G,83%,2025-03-26 05:20:01
1000G,830G,171G,83%,2025-03-26 06:20:03
1000G,830G,170G,83%,2025-03-26 07:20:04
1000G,830G,170G,83%,2025-03-26 08:20:03
1000G,830G,170G,84%,2025-03-26 09:20:03
1000G,830G,170G,84%,2025-03-26 10:20:03
1000G,830G,170G,84%,2025-03-26 11:20:04
1000G,830G,170G,84%,2025-03-26 12:20:04
1000G,831G,170G,84%,2025-03-26 13:20:01
1000G,831G,170G,84%,2025-03-26 14:20:01
1000G,831G,170G,84%,2025-03-26 15:20:02
1000G,831G,170G,84%,2025-03-26 16:20:01
1000G,831G,170G,84%,2025-03-26 17:20:02
1000G,831G,170G,84%,2025-03-26 18:20:04
1000G,831G,170G,84%,2025-03-26 19:20:03
1000G,832G,168G,84%,2025-03-27 02:20:02
1000G,832G,168G,84%,2025-03-27 03:20:03
1000G,832G,168G,84%,2025-03-27 04:20:03
1000G,832G,168G,84%,2025-03-27 05:20:02
1000G,832G,168G,84%,2025-03-27 06:20:02
1000G,832G,168G,84%,2025-03-27 07:20:01
1000G,832G,168G,84%,2025-03-27 08:20:02
1000G,832G,168G,84%,2025-03-27 09:20:01
1000G,832G,168G,84%,2025-03-27 10:20:01
1000G,833G,168G,84%,2025-03-27 11:20:01
1000G,833G,168G,84%,2025-03-27 12:20:02
1000G,833G,168G,84%,2025-03-27 13:20:03
1000G,833G,168G,84%,2025-03-27 14:20:03
1000G,833G,168G,84%,2025-03-27 15:20:04
1000G,833G,168G,84%,2025-03-27 16:20:03
1000G,833G,168G,84%,2025-03-27 17:20:03
1000G,833G,168G,84%,2025-03-27 18:20:04
1000G,833G,167G,84%,2025-03-27 19:20:04
1000G,834G,166G,84%,2025-03-28 02:20:02
1000G,834G,166G,84%,2025-03-28 03:20:01
1000G,834G,166G,84%,2025-03-28 04:20:02
1000G,834G,166G,84%,2025-03-28 05:20:02
1000G,834G,166G,84%,2025-03-28 06:20:01
1000G,834G,166G,84%,2025-03-28 07:20:01
1000G,834G,166G,84%,2025-03-28 08:20:02
1000G,834G,166G,84%,2025-03-28 09:20:04
1000G,835G,166G,84%,2025-03-28 10:20:03
1000G,835G,166G,84%,2025-03-28 11:20:03
1000G,835G,166G,84%,2025-03-28 12:20:03
1000G,835G,166G,84%,2025-03-28 13:20:04
1000G,835G,166G,84%,2025-03-28 14:20:03
1000G,835G,166G,84%,2025-03-28 15:20:03
1000G,835G,166G,84%,2025-03-28 16:20:01
1000G,835G,166G,84%,2025-03-28 17:20:01
1000G,835G,166G,84%,2025-03-28 18:20:02
1000G,835G,166G,84%,2025-03-28 19:20:02
1000G,829G,171G,83%,2025-03-31 02:20:03
1000G,829G,171G,83%,2025-03-31 03:20:03
1000G,829G,171G,83%,2025-03-31 04:20:03
1000G,829G,171G,83%,2025-03-31 05:20:03
1000G,829G,171G,83%,2025-03-31 06:20:04
1000G,829G,171G,83%,2025-03-31 07:20:04
1000G,829G,171G,83%,2025-03-31 08:20:04
1000G,830G,171G,83%,2025-03-31 09:20:04
1000G,830G,171G,83%,2025-03-31 10:20:03
1000G,830G,171G,83%,2025-03-31 11:20:04
1000G,610G,390G,61%,2025-03-31 12:20:03
1000G,610G,390G,62%,2025-03-31 13:20:03
1000G,610G,390G,62%,2025-03-31 14:20:04
1000G,610G,390G,62%,2025-03-31 15:20:03
1000G,610G,390G,62%,2025-03-31 16:20:02
1000G,611G,390G,62%,2025-03-31 17:20:03
1000G,611G,390G,62%,2025-03-31 18:20:03
1000G,611G,390G,62%,2025-03-31 19:20:03
1000G,612G,388G,62%,2025-04-01 02:20:05
1000G,612G,388G,62%,2025-04-01 03:20:03
1000G,612G,388G,62%,2025-04-01 04:20:05
1000G,612G,388G,62%,2025-04-01 05:20:04
1000G,612G,388G,62%,2025-04-01 06:20:04
1000G,612G,388G,62%,2025-04-01 07:20:03
1000G,612G,388G,62%,2025-04-01 08:20:03
1000G,612G,388G,62%,2025-04-01 09:20:01
1000G,612G,388G,62%,2025-04-01 10:20:02
1000G,612G,388G,62%,2025-04-01 11:20:01
1000G,612G,388G,62%,2025-04-01 12:20:01
1000G,613G,388G,62%,2025-04-01 13:20:02
1000G,613G,388G,62%,2025-04-01 14:20:02
1000G,613G,388G,62%,2025-04-01 15:20:01
1000G,613G,388G,62%,2025-04-01 16:20:02
1000G,613G,388G,62%,2025-04-01 17:20:02
1000G,613G,388G,62%,2025-04-01 18:20:02
1000G,613G,388G,62%,2025-04-01 19:20:01
1000G,614G,386G,62%,2025-04-02 02:20:03
1000G,614G,386G,62%,2025-04-02 03:20:03
1000G,614G,386G,62%,2025-04-02 04:20:04
1000G,614G,386G,62%,2025-04-02 05:20:04
1000G,614G,386G,62%,2025-04-02 06:20:02
1000G,614G,386G,62%,2025-04-02 07:20:02
1000G,614G,386G,62%,2025-04-02 08:20:01
1000G,615G,386G,62%,2025-04-02 09:20:03
1000G,615G,386G,62%,2025-04-02 10:20:03
1000G,615G,386G,62%,2025-04-02 11:20:02
1000G,615G,386G,62%,2025-04-02 12:20:04
1000G,615G,386G,62%,2025-04-02 13:20:04
1000G,615G,386G,62%,2025-04-02 14:20:03
1000G,615G,386G,62%,2025-04-02 15:20:04
1000G,615G,385G,62%,2025-04-02 16:20:03
1000G,615G,385G,62%,2025-04-02 17:20:02
1000G,615G,385G,62%,2025-04-02 18:20:01
1000G,615G,385G,62%,2025-04-02 19:20:02
1000G,617G,384G,62%,2025-04-03 02:20:03
1000G,617G,384G,62%,2025-04-03 03:20:03
1000G,617G,384G,62%,2025-04-03 04:20:01
1000G,617G,384G,62%,2025-04-03 05:20:02
1000G,617G,384G,62%,2025-04-03 06:20:01
1000G,617G,384G,62%,2025-04-03 07:20:01
1000G,617G,384G,62%,2025-04-03 08:20:01
1000G,617G,384G,62%,2025-04-03 09:20:01
1000G,617G,384G,62%,2025-04-03 10:20:01
1000G,617G,384G,62%,2025-04-03 11:20:01
1000G,617G,384G,62%,2025-04-03 12:20:01
1000G,617G,384G,62%,2025-04-03 13:20:04
1000G,617G,383G,62%,2025-04-03 14:20:03
1000G,617G,383G,62%,2025-04-03 15:20:03
1000G,617G,383G,62%,2025-04-03 16:20:02
1000G,617G,383G,62%,2025-04-03 17:20:04
1000G,617G,383G,62%,2025-04-03 18:20:03
1000G,617G,383G,62%,2025-04-03 19:20:03
1000G,619G,382G,62%,2025-04-04 02:20:01
1000G,619G,382G,62%,2025-04-04 03:20:01
1000G,619G,382G,62%,2025-04-04 04:20:01
1000G,619G,382G,62%,2025-04-04 05:20:01
1000G,619G,382G,62%,2025-04-04 06:20:01
1000G,619G,382G,62%,2025-04-04 07:20:01
1000G,619G,382G,62%,2025-04-04 08:20:01
1000G,619G,382G,62%,2025-04-04 09:20:01
